Model,Sampling,Accuracy
M1_LogReg,Sampling1_RUS,52.26
M2_DT,Sampling1_RUS,37.42
M3_RF,Sampling1_RUS,54.84
M4_SVM,Sampling1_RUS,69.68
M5_NB,Sampling1_RUS,49.03
M1_LogReg,Sampling2_ROS,90.97
M2_DT,Sampling2_ROS,98.71
M3_RF,Sampling2_ROS,99.35
M4_SVM,Sampling2_ROS,70.97
M5_NB,Sampling2_ROS,95.48
M1_LogReg,Sampling3_SMOTE,91.61
M2_DT,Sampling3_SMOTE,96.13
M3_RF,Sampling3_SMOTE,98.71
M4_SVM,Sampling3_SMOTE,28.39
M5_NB,Sampling3_SMOTE,83.87
M1_LogReg,Sampling4_ADASYN,92.9
M2_DT,Sampling4_ADASYN,96.13
M3_RF,Sampling4_ADASYN,99.35
M4_SVM,Sampling4_ADASYN,32.9
M5_NB,Sampling4_ADASYN,83.23
M1_LogReg,Sampling5_SMOTEENN,88.39
M2_DT,Sampling5_SMOTEENN,92.9
M3_RF,Sampling5_SMOTEENN,99.35
M4_SVM,Sampling5_SMOTEENN,27.1
M5_NB,Sampling5_SMOTEENN,81.94
